img_id,input_img,label_img,valid_type1,valid_type2,valid_type3,valid_type4,valid_type5,valid_type6,valid_type7,valid_type8,valid_type9,valid_type10,valid_type11
10118,train_input_10118.png,train_label_10118.png,train,train,train,train,train,train,train,except,train,train,train
10119,train_input_10119.png,train_label_10119.png,train,train,train,train,train,train,train,train,train,train,train
10120,train_input_10120.png,train_label_10120.png,train,train,train,train,train,train,train,train,train,train,train
10121,train_input_10121.png,train_label_10121.png,train,train,train,train,train,train,train,except,unseen,train,unseen
10122,train_input_10122.png,train_label_10122.png,train,train,train,train,train,train,train,except,train,train,train
10123,train_input_10123.png,train_label_10123.png,train,train,train,train,train,train,train,train,train,train,train
10124,train_input_10124.png,train_label_10124.png,train,train,train,train,train,train,train,except,train,train,train
10125,train_input_10125.png,train_label_10125.png,train,train,train,train,train,train,train,train,train,train,train
10126,train_input_10126.png,train_label_10126.png,train,train,train,train,train,train,train,train,train,train,train
10127,train_input_10127.png,train_label_10127.png,train,train,train,train,train,train,train,except,train,train,train
10128,train_input_10128.png,train_label_10128.png,train,train,train,train,train,train,valid,except,unseen,train,train
10129,train_input_10129.png,train_label_10129.png,train,train,train,train,train,train,train,except,train,train,train
10130,train_input_10130.png,train_label_10130.png,train,train,train,train,train,train,train,train,train,train,train
10131,train_input_10131.png,train_label_10131.png,train,train,train,train,train,train,except,except,train,train,train
10132,train_input_10132.png,train_label_10132.png,train,train,train,train,train,train,except,train,train,train,train
10133,train_input_10133.png,train_label_10133.png,train,train,train,train,train,train,except,train,train,train,train
10134,train_input_10134.png,train_label_10134.png,train,train,train,train,train,train,except,except,unseen,train,train
10135,train_input_10135.png,train_label_10135.png,train,train,train,train,train,train,except,train,train,train,train
10136,train_input_10136.png,train_label_10136.png,train,train,train,train,train,train,except,train,train,train,train
10137,train_input_10137.png,train_label_10137.png,train,train,train,train,train,train,except,except,train,train,train
10138,train_input_10138.png,train_label_10138.png,train,train,train,train,train,train,except,except,train,train,train
10139,train_input_10139.png,train_label_10139.png,train,train,train,train,train,train,except,train,train,train,train
10140,train_input_10140.png,train_label_10140.png,train,train,train,train,train,train,except,train,train,train,train
10141,train_input_10141.png,train_label_10141.png,train,train,train,train,train,train,except,except,unseen,train,train
10142,train_input_10142.png,train_label_10142.png,train,train,train,train,train,train,except,train,train,train,train
10143,train_input_10143.png,train_label_10143.png,train,train,train,train,train,train,except,except,train,train,train
10144,train_input_10144.png,train_label_10144.png,train,train,train,train,train,train,except,train,train,train,train
10145,train_input_10145.png,train_label_10145.png,train,train,train,train,train,train,except,train,train,train,train
10146,train_input_10146.png,train_label_10146.png,train,train,train,train,train,train,except,except,train,train,train
10147,train_input_10147.png,train_label_10147.png,train,train,train,train,train,train,except,except,train,train,train
10148,train_input_10148.png,train_label_10148.png,train,train,train,train,train,train,except,train,unseen,train,train
10149,train_input_10149.png,train_label_10149.png,valid,train,valid,valid,valid,valid,except,valid,valid,valid,valid
10150,train_input_10150.png,train_label_10150.png,train,train,train,train,train,train,except,train,train,train,train
10151,train_input_10151.png,train_label_10151.png,train,train,train,train,train,train,except,except,unseen,train,train
10152,train_input_10152.png,train_label_10152.png,train,train,train,train,train,train,except,except,train,train,train
10153,train_input_10153.png,train_label_10153.png,train,train,train,train,train,train,except,train,train,train,train
10154,train_input_10154.png,train_label_10154.png,train,train,train,train,train,train,except,except,train,train,unseen
10155,train_input_10155.png,train_label_10155.png,train,train,train,train,train,train,except,except,train,train,train
10156,train_input_10156.png,train_label_10156.png,train,train,train,train,train,train,except,train,unseen,train,train
10157,train_input_10157.png,train_label_10157.png,train,train,train,train,train,train,except,except,train,train,train
10158,train_input_10158.png,train_label_10158.png,train,train,train,train,train,train,except,train,train,train,train
10159,train_input_10159.png,train_label_10159.png,train,train,train,train,train,train,except,train,train,train,train
10160,train_input_10160.png,train_label_10160.png,train,train,train,train,train,train,except,except,train,train,train
10161,train_input_10161.png,train_label_10161.png,train,train,train,train,train,train,except,except,unseen,train,train
10162,train_input_10162.png,train_label_10162.png,train,train,train,train,train,train,except,except,train,train,train
10163,train_input_10163.png,train_label_10163.png,train,train,train,train,train,train,except,train,train,train,train
10164,train_input_10164.png,train_label_10164.png,train,train,train,train,train,train,except,except,train,train,train
10165,train_input_10165.png,train_label_10165.png,train,train,train,train,train,train,except,train,unseen,train,train
10166,train_input_10166.png,train_label_10166.png,train,train,except,except,except,except,except,except,train,train,train
10167,train_input_10167.png,train_label_10167.png,train,train,except,except,except,except,except,except,train,train,train
10168,train_input_10168.png,train_label_10168.png,train,train,except,except,except,except,except,except,unseen,train,train
10169,train_input_10169.png,train_label_10169.png,train,train,train,train,train,train,except,except,train,train,train
10170,train_input_10170.png,train_label_10170.png,train,train,train,train,train,train,except,except,train,train,train
10171,train_input_10171.png,train_label_10171.png,train,train,train,train,train,train,except,train,unseen,train,train
10172,train_input_10172.png,train_label_10172.png,valid,train,valid,valid,valid,valid,except,valid,valid,valid,valid
10173,train_input_10173.png,train_label_10173.png,train,train,except,except,except,except,except,except,train,train,train
10174,train_input_10174.png,train_label_10174.png,train,train,except,except,except,except,except,except,train,train,train
10175,train_input_10175.png,train_label_10175.png,train,train,except,except,except,except,except,except,train,train,train
10176,train_input_10176.png,train_label_10176.png,train,train,except,except,except,except,except,except,train,train,train
10177,train_input_10177.png,train_label_10177.png,train,train,train,train,train,train,except,train,train,train,train
10178,train_input_10178.png,train_label_10178.png,train,train,train,train,train,train,except,train,train,train,train
10179,train_input_10179.png,train_label_10179.png,train,train,train,train,train,train,except,train,train,train,train
10180,train_input_10180.png,train_label_10180.png,train,train,except,except,except,except,except,except,train,train,train
10181,train_input_10181.png,train_label_10181.png,train,train,except,except,except,except,except,except,train,train,train
10182,train_input_10182.png,train_label_10182.png,train,train,except,except,except,except,except,except,train,train,train
10183,train_input_10183.png,train_label_10183.png,train,train,except,except,except,except,except,except,unseen,train,train
10184,train_input_10184.png,train_label_10184.png,train,train,except,except,except,except,except,except,train,train,train
10185,train_input_10185.png,train_label_10185.png,train,train,train,train,train,train,except,train,train,train,train
10186,train_input_10186.png,train_label_10186.png,train,train,train,train,train,train,except,train,train,train,train
10187,train_input_10187.png,train_label_10187.png,train,train,train,train,train,train,except,train,train,train,train
10188,train_input_10188.png,train_label_10188.png,train,train,train,train,train,train,except,except,train,train,train
10189,train_input_10189.png,train_label_10189.png,train,train,train,train,train,train,except,except,train,train,train
10190,train_input_10190.png,train_label_10190.png,train,train,train,train,train,train,except,train,unseen,train,train
10191,train_input_10191.png,train_label_10191.png,train,train,train,train,train,train,except,except,train,train,train
10192,train_input_10192.png,train_label_10192.png,train,train,train,train,train,train,except,except,train,train,train
10193,train_input_10193.png,train_label_10193.png,train,train,train,train,train,train,except,train,train,train,train
10194,train_input_10194.png,train_label_10194.png,train,train,train,train,train,train,except,train,train,train,train
10195,train_input_10195.png,train_label_10195.png,train,train,train,train,train,train,except,except,train,train,train
10196,train_input_10196.png,train_label_10196.png,train,train,train,train,train,train,except,train,train,train,train
10197,train_input_10197.png,train_label_10197.png,train,train,train,train,train,train,except,train,train,train,train
10198,train_input_10198.png,train_label_10198.png,train,train,train,train,train,train,except,except,unseen,train,train
10199,train_input_10199.png,train_label_10199.png,train,train,train,train,train,train,except,except,train,train,train
10200,train_input_10200.png,train_label_10200.png,train,train,train,train,train,train,except,train,train,train,train
10201,train_input_10201.png,train_label_10201.png,train,train,train,train,train,train,except,except,train,train,train
10202,train_input_10202.png,train_label_10202.png,train,train,train,train,train,train,except,except,train,train,train
10203,train_input_10203.png,train_label_10203.png,train,train,train,train,train,train,train,except,train,train,train
10204,train_input_10204.png,train_label_10204.png,train,train,train,train,train,train,valid,except,train,train,train
10205,train_input_10205.png,train_label_10205.png,train,train,train,train,train,train,train,train,train,train,train
10206,train_input_10206.png,train_label_10206.png,train,train,train,train,train,train,train,except,train,train,train
10207,train_input_10207.png,train_label_10207.png,train,train,train,train,train,train,train,except,unseen,train,train
10208,train_input_10208.png,train_label_10208.png,train,train,train,train,train,train,except,except,train,train,train
10209,train_input_10209.png,train_label_10209.png,train,train,train,train,train,train,except,train,train,train,train
10210,train_input_10210.png,train_label_10210.png,train,train,train,train,train,train,except,train,train,train,train
10211,train_input_10211.png,train_label_10211.png,train,train,train,train,train,train,except,except,train,train,train
10212,train_input_10212.png,train_label_10212.png,train,train,train,train,train,train,except,train,train,train,train
10213,train_input_10213.png,train_label_10213.png,train,train,train,train,train,train,except,train,train,train,train
10214,train_input_10214.png,train_label_10214.png,train,train,train,train,train,train,except,except,train,train,train
10215,train_input_10215.png,train_label_10215.png,train,train,except,except,except,except,except,except,train,train,train
10216,train_input_10216.png,train_label_10216.png,train,train,except,except,except,except,except,except,train,train,train
10217,train_input_10217.png,train_label_10217.png,train,train,train,train,train,train,except,except,unseen,train,train
10218,train_input_10218.png,train_label_10218.png,train,train,train,train,train,train,except,except,train,train,train
10219,train_input_10219.png,train_label_10219.png,train,train,train,train,train,train,except,train,train,train,train
10220,train_input_10220.png,train_label_10220.png,train,train,train,train,train,train,except,except,unseen,train,train
10221,train_input_10221.png,train_label_10221.png,train,train,except,except,except,except,except,except,train,train,train
10222,train_input_10222.png,train_label_10222.png,train,train,except,except,except,except,except,except,train,train,train
10223,train_input_10223.png,train_label_10223.png,train,train,except,except,except,except,train,except,train,train,train
10224,train_input_10224.png,train_label_10224.png,train,train,except,except,except,except,valid,except,train,train,train
10225,train_input_10225.png,train_label_10225.png,train,train,except,except,except,except,train,except,train,train,train
10226,train_input_10226.png,train_label_10226.png,train,train,except,except,except,except,train,except,unseen,train,train
10227,train_input_10227.png,train_label_10227.png,train,train,except,except,except,except,train,except,train,train,train
10228,train_input_10228.png,train_label_10228.png,train,train,train,train,train,train,except,train,train,train,train
10229,train_input_10229.png,train_label_10229.png,train,train,train,train,train,train,except,train,train,train,train
10230,train_input_10230.png,train_label_10230.png,train,train,train,train,train,train,except,except,train,train,train
10231,train_input_10231.png,train_label_10231.png,train,train,train,train,train,train,except,except,train,train,train
10232,train_input_10232.png,train_label_10232.png,train,train,train,train,train,train,except,except,train,train,train
10233,train_input_10233.png,train_label_10233.png,train,train,train,train,train,train,except,except,train,train,train
10234,train_input_10234.png,train_label_10234.png,train,train,train,train,train,train,except,train,unseen,train,train
10235,train_input_10235.png,train_label_10235.png,train,train,train,train,train,train,except,except,train,train,train
10236,train_input_10236.png,train_label_10236.png,train,train,train,train,train,train,except,except,train,train,train
10237,train_input_10237.png,train_label_10237.png,train,train,train,train,train,train,except,except,train,train,train
10238,train_input_10238.png,train_label_10238.png,train,train,train,train,train,train,except,train,train,train,train
10239,train_input_10239.png,train_label_10239.png,train,train,train,train,train,train,except,except,train,train,train
10240,train_input_10240.png,train_label_10240.png,train,train,train,train,train,train,except,except,train,train,train
10241,train_input_10241.png,train_label_10241.png,train,train,except,except,except,except,except,except,train,train,train
10242,train_input_10242.png,train_label_10242.png,train,train,except,except,except,except,except,except,train,train,train
10243,train_input_10243.png,train_label_10243.png,train,train,train,train,train,train,except,except,train,train,train
10244,train_input_10244.png,train_label_10244.png,train,train,train,train,train,train,except,train,train,train,train
10245,train_input_10245.png,train_label_10245.png,train,train,train,train,train,train,except,except,train,train,train
10246,train_input_10246.png,train_label_10246.png,train,train,train,train,train,train,except,except,unseen,train,train
10247,train_input_10247.png,train_label_10247.png,train,train,train,train,train,train,except,train,train,train,train
10248,train_input_10248.png,train_label_10248.png,train,train,train,train,train,train,except,except,train,train,train
10249,train_input_10249.png,train_label_10249.png,train,train,train,train,train,train,except,except,train,train,train
10250,train_input_10250.png,train_label_10250.png,valid,train,valid,valid,valid,valid,except,except,valid,valid,valid
10251,train_input_10251.png,train_label_10251.png,train,train,train,train,train,train,except,train,unseen,train,train
10252,train_input_10252.png,train_label_10252.png,train,train,train,train,train,train,except,train,train,train,train
10253,train_input_10253.png,train_label_10253.png,train,train,train,train,train,train,except,except,train,train,train
10254,train_input_10254.png,train_label_10254.png,train,train,train,train,train,train,except,except,train,train,train
10255,train_input_10255.png,train_label_10255.png,train,train,train,train,train,train,except,except,train,train,train
10256,train_input_10256.png,train_label_10256.png,train,train,train,train,train,train,except,except,unseen,train,train
10257,train_input_10257.png,train_label_10257.png,train,train,train,train,train,train,except,except,train,train,train
10258,train_input_10258.png,train_label_10258.png,train,train,train,train,train,train,except,except,train,train,train
10259,train_input_10259.png,train_label_10259.png,train,train,train,train,train,train,except,except,train,train,train
10260,train_input_10260.png,train_label_10260.png,train,train,train,train,train,train,except,except,train,train,train
10261,train_input_10261.png,train_label_10261.png,train,train,train,train,train,train,except,train,train,train,train
10262,train_input_10262.png,train_label_10262.png,train,train,train,train,train,train,except,train,train,train,train
10263,train_input_10263.png,train_label_10263.png,train,train,train,train,train,train,except,except,train,train,train
10264,train_input_10264.png,train_label_10264.png,train,train,train,train,train,train,except,except,train,train,unseen
10265,train_input_10265.png,train_label_10265.png,train,train,train,train,train,train,except,train,unseen,train,train
10266,train_input_10266.png,train_label_10266.png,train,train,train,train,train,train,except,train,train,train,train
10267,train_input_10267.png,train_label_10267.png,train,train,train,train,train,train,except,except,train,train,train
10268,train_input_10268.png,train_label_10268.png,train,train,train,train,train,train,except,except,train,train,train
10269,train_input_10269.png,train_label_10269.png,train,train,train,train,train,train,except,except,unseen,train,train
10270,train_input_10270.png,train_label_10270.png,train,train,train,train,train,train,except,except,train,train,train
10271,train_input_10271.png,train_label_10271.png,train,train,train,train,train,train,except,except,train,train,train
10272,train_input_10272.png,train_label_10272.png,train,train,train,except,except,except,train,train,train,train,train
10273,train_input_10273.png,train_label_10273.png,train,train,train,except,except,except,train,train,train,train,train
10274,train_input_10274.png,train_label_10274.png,train,train,train,except,except,except,valid,except,train,train,train
10275,train_input_10275.png,train_label_10275.png,train,train,train,except,except,except,train,train,unseen,unseen,train
10276,train_input_10276.png,train_label_10276.png,train,train,train,except,except,except,train,except,train,train,train
10277,train_input_10277.png,train_label_10277.png,train,train,train,train,train,except,train,train,train,train,train
10278,train_input_10278.png,train_label_10278.png,train,train,train,except,except,except,train,train,train,train,train
10279,train_input_10279.png,train_label_10279.png,train,train,except,except,except,except,train,except,train,train,train
10280,train_input_10280.png,train_label_10280.png,train,train,train,train,train,except,train,train,unseen,train,train
10281,train_input_10281.png,train_label_10281.png,train,train,train,except,except,except,valid,train,train,train,train
10282,train_input_10282.png,train_label_10282.png,train,train,train,train,train,except,train,train,train,train,train
10283,train_input_10283.png,train_label_10283.png,train,train,train,except,except,except,train,train,train,train,train
10284,train_input_10284.png,train_label_10284.png,train,train,train,except,except,except,train,train,train,train,train
10285,train_input_10285.png,train_label_10285.png,train,train,train,except,except,except,train,except,unseen,unseen,train
10286,train_input_10286.png,train_label_10286.png,train,train,train,except,except,except,train,train,train,train,train
10287,train_input_10287.png,train_label_10287.png,train,train,train,train,train,except,valid,train,train,train,train
10288,train_input_10288.png,train_label_10288.png,train,train,train,train,train,except,train,train,train,train,train
10289,train_input_10289.png,train_label_10289.png,train,train,train,train,train,except,train,train,train,train,train
10290,train_input_10290.png,train_label_10290.png,train,train,train,train,train,except,train,except,train,train,train
10291,train_input_10291.png,train_label_10291.png,train,train,train,except,except,except,train,train,train,train,train
10292,train_input_10292.png,train_label_10292.png,train,train,train,except,except,except,train,train,train,train,train
10293,train_input_10293.png,train_label_10293.png,train,train,train,train,train,except,train,train,train,train,train
10294,train_input_10294.png,train_label_10294.png,train,train,train,train,train,except,train,train,train,train,train
10295,train_input_10295.png,train_label_10295.png,train,train,train,train,train,except,train,except,train,train,train
10296,train_input_10296.png,train_label_10296.png,train,train,train,train,train,except,valid,train,train,train,train
10297,train_input_10297.png,train_label_10297.png,train,train,train,train,train,except,train,except,train,train,train
10298,train_input_10298.png,train_label_10298.png,train,train,train,train,train,except,train,train,train,train,train
10299,train_input_10299.png,train_label_10299.png,train,train,train,train,train,except,train,train,train,train,train
10300,train_input_10300.png,train_label_10300.png,valid,train,valid,valid,valid,valid,train,valid,valid,valid,valid
10301,train_input_10301.png,train_label_10301.png,train,train,train,except,except,except,train,train,train,train,train
10302,train_input_10302.png,train_label_10302.png,train,train,train,except,except,except,train,except,unseen,train,train
10303,train_input_10303.png,train_label_10303.png,train,train,train,train,except,except,train,train,unseen,train,train
10304,train_input_10304.png,train_label_10304.png,train,train,train,train,train,except,train,train,train,train,train
10305,train_input_10305.png,train_label_10305.png,train,train,train,train,train,except,train,train,train,train,train
10306,train_input_10306.png,train_label_10306.png,train,train,train,train,train,except,valid,except,train,train,train
10307,train_input_10307.png,train_label_10307.png,train,train,train,train,train,except,train,except,unseen,train,train
10308,train_input_10308.png,train_label_10308.png,train,train,train,train,train,except,train,train,train,train,train
10309,train_input_10309.png,train_label_10309.png,train,train,train,train,train,except,train,train,train,train,train
10310,train_input_10310.png,train_label_10310.png,train,train,train,train,train,except,train,train,train,train,train
10311,train_input_10311.png,train_label_10311.png,train,train,train,train,train,except,train,train,train,train,train
10312,train_input_10312.png,train_label_10312.png,train,train,train,train,train,except,train,except,train,train,train
